Protein,Protein Name,Gene Name,Function,ProteinGroup,FastaHeaders,Proteins,Peptides,RazorUniquePeptides,UniquePeptides,Coverage,MolWeight,LFQ intensity C-1,LFQ intensity C-2,LFQ intensity C-3,LFQ intensity T-1,LFQ intensity T-2,LFQ intensity T-3,Identified or Quantified
F5H6P7,Protein mago nashi homolog 2,MAGOHB,,F5H6P7;A0A023T6R1;P61326;Q96A72;F5H3U9;F5H6N1,F5H6P7_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9606 GN=MAGOHB PE=4 SV=1;A0A023T6R1_HUMAN Mago nashi protein OS=Homo sapiens OX=9606 GN=FLJ10292 PE=2 SV=1;MGN_HUMAN Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1;MGN2_HUM,6,3,3,3,40.2,11.799,36189000,17076000,37239000,31157000,32247000,25947000,Quantified
A0A023T787,RNA-binding protein 8A,RBM8,Core component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junctions on mRNAs.,A0A023T787;Q9Y5S9,A0A023T787_HUMAN RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8 PE=2 SV=1;RBM8A_HUMAN RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8A PE=1 SV=1,2,3,3,3,25.9,19.889,24428000,37984000,28574000,29668000,22314000,27229000,Quantified
Q9UEX8,Leucocyte antigen B (Fragment),HLA-DRB4,,Q9UEX8;D6CJH3;O19740;Q9NQ54;Q9MYE4;Q9GJ49;Q9GIJ6;O19743;O19738;O19719;D1MYB6;A0A5H2V0U0;A0A5H2V0R3;A0A5H2UYK8;A0A5H2UY89;A0A5H2UU21;A0A5H2UU09;A0A5H2USW4;A0A5H2USV9;A0A5H2UHU3;A0A5H2UH10;A0A5H2UEX8;A0A5H2UEA7;A0A5H2UE90;A0A5A4LVN4;A0A5A4LPM0;A0A5A4LLJ3;A0A5A4LKB3;A0A5A4LJY3;A0A5A4LI93;A0A5A4LI74;A0A4V0NPB6;A0A4V0NPB5;A0A4V0NPB4;A0A4P2SUT7;A0A4P2SUS9;A0A4P2SUS2;A0A4P2SUA0;A0A4P2SU95;A0A4P2SU88;A0A4P2STM1;A0A4P2STL1;A0A4P2STK4;A0A4P2ST78;A0A4P2ST71;A0A4P2ST65;A0A4P2SSV2;A0A4P2SSU8;A0A4P2SST0;A0A4P2SSS2;A0A4P2SSH7;A0A4P2SSG7;A0A4P2SSD6;A0A4P2SSC6;A0A4P2SSB8;A0A4P2SS66;A0A4P2SS63;A0A4P2SS57;A0A4P2SS51;A0A4P2SS46;A0A4P2SS42;A0A493QPA2;A0A493QPA1;A0A493QPA0;A0A493QP99;A0A493QP98;A0A493QP97;A0A455JX69;A0A455JX68;A0A455JWC6;A0A455JWB9;A0A455JWB3;A0A455JW79;A0A455JW72;A0A455JW52;A0A455JW45;A0A455JVY7;A0A455JVY0;A0A455JVW9;A0A455JUJ2;A0A455JUI7;A0A455JU71;A0A455JU62;A0A455JSM6;A0A455JSL6;A0A455JSK3;A0A3S6RJ79;A0A3S6RJ73;A0A3S6RJ67;A0A3S6RJ64;A0A3S6RJ57;A0A3S6RJ52;A0A3S6RIU8;A0A3S6RGW2;A0A3S6RGV5;A0A3S6RGV2;A0A3S6RGU9;A0A3S6RGU8;A0A3S6RGU7;A0A3S6RGU6;A0A3S6RGU4;A0A3S6RGU3;A0A3S6RGU1;A0A3S6RGT8;A0A3S6RGS9;A0A3S6RGS4;A0A3S6RGR8;A0A3S6RGR7;A0A2U7NN60;A0A2U7NID4;A0A2U7NIC9;A0A2U7NIC5;A0A2U7NIB5;A0A2U7NEF8;A0A2U7NEF2;A0A2U7N6W0;A0A2U7N3K0;A0A2U7N3J3;A0A2U7MZU1;A0A2U7MZT2;A0A2U7MZR8;A0A2U7MWP5;A0A2U7MWP0;A0A2U7MWM8;A0A2I4Q0F0;A0A2I4PZZ7;A0A2I4PZZ6;A0A2I4PZZ5;A0A2I4PZX7;A0A2H4V0T4;A0A2H4V0T1;A0A2H4G4G8;A0A2H4G4F7;A0A2H4G4D7;A0A2H4G2W1;A0A2H4G2V2;A0A2H4G0I9;A0A2H4G0I2;A0A2H4G0H9;A0A2H4FZY3;A0A2H4FZY2;A0A2H4FZX9;A0A2H4FZX8;A0A2H4FZX2;A0A2H4FZV0;A0A2D1WB81;A0A2D1BY58;A0A288R1T1;A0A288R141;A0A288QYT1;A0A288QS53;A0A288QFJ4;A0A288QCR7;A0A288QAA4;A0A288Q9I9;A0A288Q9I8;A0A286MCI6;A0A286MCI5;A0A286MCI4;A0A286MCI3;A0A1X9I6M8;A0A1X9I6M2;A0A1X9I6L6;A0A1X9I6L3;A0A1X9I608;A0A1X9I600;A0A1X9I5Z5;A0A1X9I5Y6;A0A1X9I5M6;A0A1X9I5K9;A0A1X9I5K3;A0A1X9I5J9;A0A1X9I5I8;A0A1X9I5C4;A0A1X9I5B3;A0A1X9I5A8;A0A1X9I5A7;A0A1X9I5A5;A0A1X9I5A0;A0A1X9I597;A0A1X9I595;A0A1X9I590;A0A1X9I589;A0A1X9I588;A0A1X9I556;A0A1X9I555;A0A1X9I548;A0A1X9I545;A0A1X9I543;A0A1X9I542;A0A1X9I541;A0A1X9I529;A0A1X9I526;A0A1X9I525;A0A1X9I521;A0A1X9I518;A0A1S5QRK2;A0A1S5QRK1;A0A1S5QRJ4;A0A1S5QRJ3;A0A1S5QRJ2;A0A1S5QRI9;A0A1S5QRI7;A0A1S5QRI6;A0A1S5QRI5;A0A1S5QRI4;A0A1S5QRI3;A0A1S5QRI2;A0A1S5QRI1;A0A1S5QRI0;A0A1S5QRH9;A0A1S5QRH8;A0A1S5QRH7;A0A1S5QRH6;A0A1S5QRH4;A0A1S5QRH3;A0A1S5QRH0;A0A1S5QRG8;A0A1S5QRG5;A0A1S5QRF8;A0A1L2BMV2;A0A1L2BMU7;A0A1L2BMU6;A0A1L2BMT7;A0A1L2BMT5;A0A1L2BMT3;A0A1L2BMT0;A0A1L2BMS9;A0A1L2BMS0;A0A1G4P1H4;A0A1D8QLY9;A0A1B1TK67;A0A180H7G7;A0A180H758;A0A180H736;A0A180H6J7;A0A180H6D0;A0A180H5R5;A0A180H5Q4;A0A180H5N7;O19727;Q861F4;A0A5H2V0T1;A0A5H2V0S3;A0A5H2UYJ9;A0A5H2UYI7;A0A5H2UYH9;A0A5H2UYA2;A0A5H2UY97;A0A5H2UUM0;A0A5H2UUL2;A0A5H2UUK5;A0A5H2UU14;A0A5H2UU02;A0A5H2USV1;A0A5H2USU6;A0A5H2UHX7;A0A5H2UHW9;A0A5H2UHV2;A0A5H2UH61;A0A5H2UH50;A0A5H2UH36;A0A5H2UH24;A0A5H2UEY6;A0A5H2UEX2;A0A5H2UEW2;A0A5H2UE97;A0A5H2UE83;A0A5H2UE76;A0A5B8LDL4;A0A5A4M448;A0A5A4LVL8;A0A5A4LVK5;A0A5A4LPQ2;A0A5A4LP90;A0A5A4LLM4;A0A5A4LLL0;A0A5A4LKC2;A0A5A4LJZ0;A0A5A4LJG0;A0A5A4LJF0;A0A5A4LIP0;A0A5A4LIM9;A0A5A4LI81;A0A455JUK0;A0A0H5CBI3;O78117;A0A5C1J1R8;A0A482LU72;A0A024F9U8;A0A024F9S8;A0A024F986;A0A024F8Q5;A0A223G1E1;A0A223G1C6;A0A223G1C3;A0A223G1B3;Q30152;X5D2U9;Q2LIR4;A0A5B9QYR3;A0A0G2JJQ8;P13762;K4IT57;Q9BCP4;M9PA12;M9P9S1;M9P9A6;M9P8S8;K7QT37;G1EN27;F8SL05;F2X653;D2D3H5;B6ZLV2;A0AQY5;A0A5K1TTS8;A0A5H2UYA8;A0A5H2UUM9;A0A5H2UTZ6;A0A4P2SSQ1;A0A4P2SSF8;A0A3S6RGQ9;A0A2U7NN54;A0A2U7NN48;A0A2U7NH08;A0A2U7NH03;A0A2U7NEE8;A0A2U7N9V4;A0A2U7N9U9;A0A2U7N9U1;A0A2U7N6W5;A0A2U7N6V6;A0A2U7N3I7;A0A2U7MZS7;A0A2U7MWP7;A0A2U7MWP1;A0A2U7MWN5;A0A2U7MWN3;A0A2I4Q0H9;A0A2I4PZZ4;A0A2I4PZZ1;A0A2I4PZS1;A0A2H4G4E6;A0A2H4G4C8;A0A2H4FZZ4;A0A2H4FZY9;A0A2H4FZY4;A0A2H4FZX5;A0A2H4FZX4;A0A2H4FZX1;A0A2H4FZX0;A0A2H4FZW8;A0A2H4FZW4;A0A2H4FZW0;A0A288QDH7;A0A288Q9J6;A0A1X9I5B8;A0A1X9I5A2;A0A1X9I561;A0A1X9I536;A0A1X9I534;A0A1X9I533;A0A0G2R1S7;A0A0G2R118;A0A0E3DCK0;A0A0A7CAN0;A0A0A7C4T1;A0A0A7C3G1;A0A5K1TTN1;A0A5H2UHW0;A0A224ANL3;A0A1P8VK54;A0A0P1GKP1;Q9UEY3;A0A180H6N8;Q05563;Q9UM28;U5IRE1;A0A5H2UYJ3;A0A5A4M438;A0A5A4LP48;A0A3S6RIU0;A0A3S6RGW7;A0A3S6RGS5;A0A2U7NH14;A0A288R0V9;A0A1S5QRH2;A0A1L2BMU1;A0A0A7CA20;A0A0A7C9C6;A0A4V1DXG9;A0A4D6PEG8,Q9UEX8_HUMAN Leucocyte antigen B (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DRB4 PE=4 SV=1;D6CJH3_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DRB4 PE=4 SV=1;O19740_HUMAN MHC class II HLA-DR-beta mRNA (DR9) (Fragment) OS=Homo sapiens,393,3,3,0,26,8.9066,149310000,143700000,214090000,156520000,153170000,110820000,Quantified
A0A2R8YGH5,AP complex subunit sigma,AP1S1,,A0A2R8YGH5;A0A024QYT6;H7C1E4;P61966,A0A2R8YGH5_HUMAN AP complex subunit sigma OS=Homo sapiens OX=9606 GN=AP1S1 PE=1 SV=1;A0A024QYT6_HUMAN AP complex subunit sigma OS=Homo sapiens OX=9606 GN=AP1S1 PE=3 SV=1;H7C1E4_HUMAN AP complex subunit sigma (Fragment) OS=Homo sapiens OX=9606 GN=AP1S1 PE=1,4,1,1,1,10.2,18.602,3227500,3324800,5282000,3990800,3731100,3894100,Quantified
B4DRU0,Eukaryotic translation initiation factor 3 subunit C,EIF3C,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S pre-initiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation, including cell cycling, differentiation and apoptosis, and uses different modes of RNA stem-loop binding to exert either translational activation or repression.",B4DRU0;B4DVU3;B4DDN4;B4DVQ5;A1KYQ7;A0A024QYU9;Q99613;B5ME19;B3KNZ4;B4E2Z6;A0A024QYX7;H3BPE4;Q3B7B9,B4DRU0_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=2 SV=1;B4DVU3_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=2 SV=1;B4DDN4_HUMAN Eukaryotic translation in,13,8,8,8,14,84.966,26819000,21763000,21157000,23080000,26918000,23879000,Quantified
A0A024QYX8,"Wiskott-Aldrich syndrome (Eczema-thrombocytopenia), isoform CRA_a",WAS,,A0A024QYX8;P42768,"A0A024QYX8_HUMAN Wiskott-Aldrich syndrome (Eczema-thrombocytopenia), isoform CRA_a OS=Homo sapiens OX=9606 GN=WAS PE=4 SV=1;WASP_HUMAN Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WAS PE=1 SV=4",2,2,2,2,7.6,52.912,13253000,9613200,9543100,13356000,11961000,23194000,Quantified
A0A024QZ20,Mitogen-activated protein kinase,MAPK7,,A0A024QZ20;Q13164,A0A024QZ20_HUMAN Mitogen-activated protein kinase OS=Homo sapiens OX=9606 GN=MAPK7 PE=3 SV=1;MK07_HUMAN Mitogen-activated protein kinase 7 OS=Homo sapiens OX=9606 GN=MAPK7 PE=1 SV=2,2,1,1,1,2.3,88.385,,19402000,12635000,10542000,10885000,8892000,Quantified
B3KN29,PRA1 family protein,,,B3KN29;A0A024QZ22;A6NM71;O60831,B3KN29_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZ22_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=PRAF2 PE=3 SV=1;A6NM71_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 PE=3 SV=3;PRAF2_HUMAN PRA1 family protein 2 OS=Homo ,4,2,2,2,6.2,19.29,,,,,8011100,201280000,Quantified
E7EWH9,Myomesin-2,MYOM2,,E7EWH9;B4DNE9;A0A0J9YVV7;A0A024QZ61;P54296,"E7EWH9_HUMAN Myomesin-2 OS=Homo sapiens OX=9606 GN=MYOM2 PE=1 SV=2;B4DNE9_HUMAN cDNA FLJ58401, highly similar to Myomesin-2 OS=Homo sapiens OX=9606 PE=2 SV=1;A0A0J9YVV7_HUMAN Myomesin-2 OS=Homo sapiens OX=9606 GN=MYOM2 PE=1 SV=1;A0A024QZ61_HUMAN Myomesin (",5,2,2,2,2.7,99.686,,,,,,3893000,Identified
B7Z1N6,Fructose-bisphosphate aldolase,,,B7Z1N6;B7Z1Y2;A0A024QZ64;B7Z3K9;P09972;K7EKH5;C9J8F3;J3KSV6;J3QKP5;A8MVZ9,B7Z1N6_HUMAN Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 PE=2 SV=1;B7Z1Y2_HUMAN Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZ64_HUMAN Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 GN=ALDOC PE=2 SV=1;B7Z3K9_HU,10,4,1,1,17.8,35.423,46802000,53925000,50083000,50387000,44625000,56711000,Quantified
